preu_actual,preu_original,descompte,titol,enllaç,descripcio,agent_nom,parking,tags,habs,metres2
1.380.000€,,0%,"Pis a carrer de Tòquio, Pedralbes, Barcelona",https://www.idealista.com/ca/inmueble/106321776/,"Aquest lluminós pis de 190 m2 construïts interiors, terrassa d'11 m2, 3 habitacions i 2 places d'aparcament es troba en un edifici singular del barri de Pedralbes, premiat pel seu disseny. La zona és una de les més prestigioses i tranquil·les de tota Barcelona, ideal per a qui busca el millor confort en el seu dia a dia. El rebedor de l'entrada principal dóna pas directament a l'ampli saló a doble alçada, ideal per diferenciar els ambients de sala d'estar i de menjador. Té accés a l'agradable terrassa d'11 m2, amb espai per a taula i cadires i",Bcn Advisors,Pàrking inclòs,Lluminós,3,195
2.995.000€,3.200.000 €,6%,"Casa o xalet independent a carrer d'Alcoi, 32, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/ca/inmueble/106139128/,"Aquesta magnífica propietat disposa de sis àmplies habitacions en suite més una habitació de servei independent. Totes són exteriors, cosa que permet gaudir d'abundant llum natural. Això garanteix comoditat i privadesa a cada membre de la llar. A la planta baixa tenim un ampli i lluminós saló que s'erigeix com el cor social de l'habitatge. Aquest espai diàfan és perfecte per al descans i el lleure, ja que compta amb grans finestrals que inunden l'estança de llum natural i s'obren cap a la terrassa davantera. En aquesta terrassa acollidora s'ha",Lucas Fox,Pàrking inclòs,"Luxe, Vil·la",7,500
2.550.000€,,0%,"Pis a plaça Tetuan, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/105075436/,"Elegant pis amb àmplia terrassa a finca règia a l'Eixample Aquest sofisticat pis es troba en una fabulosa finca règia catalogada amb un impressionant portal compost per grans portes de fusta a la façana principal i una segona gran porta de vidre que li donen un aire majestuós al conjunt de l'edifici, situat en una de les zones més revaloritzades de dreta de l'Eixample. El seu disseny sobri i elegant que conserva en part els elements originals de l'època com ho són els meravellosos sostres artesonats i les fusteries originals restaurades de fust",Engel & Völkers Barcelona,No indicat,Luxe,5,283
1.640.000€,,0%,"Pis a carrer de Ferrán Agulló, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/103739782/,"Pis situat en un dels 4 carrers del Turó Park, una de les zones residencials més cobejades de Barcelona. Està a la 5a planta real, per la qual cosa és molt lluminós i tranquil. Amb 245 m2 construïts i 5 habitacions, es tracta d'una opció ideal per a famílies grans que busquin una llar d'alt standing a Barcelona. A l'entrada, un gran rebedor ens condueix a l'esquerra cap a un espai obert usat actualment com a biblioteca, a través del qual arribem al saló-menjador. És molt ampli, rep moltíssima llum natural, té orientació sud-oest i dóna al carr",Bcn Advisors,No indicat,"Lluminós, Luxe",5,245
1.545.000€,,0%,"Pis a carrer de Girona, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/101689754/,"Aquest magnífic pis de luxe reformat amb la màxima qualitat és sinònim de sofisticació i comoditat. Es troba al principi del carrer Girona, que s'està transformant en vianant. Es tracta d'una zona ideal de l'Eixample molt a prop del centre de la ciutat i del barri del Born, envoltat de serveis, restaurants, comerços, atractius culturals, zones verdes i oferta de transport públic. L'habitatge està en una preciosa finca regia en perfecte estat, que manté tots els detalls de l'arquitectura clàssica barcelonina, amb portal de fusta, façana clàssic",Bcn Advisors,No indicat,"Reformat, Luxe",3,213
2.380.000€,,0%,"Pis a carrer de Provença, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/102772221/,"Espectacular i ampli Principal amb terrassa a l'Eixample. Merveŀlós pis totalment reformat al bell mig de l'Eixample, al costat de la Rambla Catalunya i a només dos carrers del Passeig de Gràcia i La Pedrera. És una de les zones més cotitzades de Barcelona, envoltada de tots els serveis per al dia a dia, comerços de tot tipus des de botigues de barri fins a boutiques de primeres marques, entitats i institucions de prestigi i perfecta connexió mitjançant transport públic. Aquesta propietat ocupa tota la planta Principal de l'edifici i té 220 m",Bcn Advisors,No indicat,Luxe,3,243
1.900.000€,,0%,"Pis a carrer del Rosselló, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/105435068/,"Aquest impecable pis es situa entre Passeig de Gràcia i Rambla Catalunya, una de les ubicacions més prestigioses de Barcelona a la part alta de la Dreta de l'Eixample. La reforma de luxe ha cuidat al màxim tots els detalls en concepció, materials i acabats, destacant els terres i sostres dissenyats exclusivament per a aquest pis i l'exquisit treball de marqueteria als terres i la fusteria. L'habitatge té 170 m2 construïts interiors i un balcó de 10 m 2. Ocupa tota la planta Principal d'una finca regia totalment rehabilitada el 2017 amb ascenso",Bcn Advisors,No indicat,"Reformat, Luxe",2,175
1.200.000€,,0%,"Pis a carrer de Girona, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/101941647/,"Aquest pis sensacional té una ubicació excel·lent de Barcelona i es troba en una finca senyorial de 1910 totalment rehabilitada. L'edifici és cantonada amb el carrer Girona, que ja s'està transformant en carrer per a vianants i les obres estan gairebé acabades, i l'Avinguda Diagonal, que s'està convertint en una avinguda tipus boulevard amb una gran zona per a vianants, zones verdes i carril bici, reduint molt el trànsit de vehicles. Podràs gaudir del millor de Barcelona en un lloc incomparable: en ple Eixample, molt a prop del Passeig de Gràci",Bcn Advisors,No indicat,,3,131
1.150.000€,,0%,"Pis a carrer del Bruc, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/106220589/,"Magnífic pis de 199 m² construïts en una finca senyorial de 1910 combina història i elegància al cor de l'Eixample Dreta. Amb detalls arquitectònics originals com a terres de nolla i sostres artesonats, ofereix una experiència única de viure en un immoble que reflecteix el caràcter modernista de l'època. L'habitatge compta amb cinc habitacions àmplies i cinc banys, distribuïts de manera que cada espai rep abundant llum natural. Les estances connecten ambdues façanes, una amb balcons i tribuna, i una altra orientada cap a un tranquil pati d'il",Walter Haus Barcelona,No indicat,,5,226
995.000€,1.049.000 €,5%,"Pis a carrer de Ganduxer, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/ca/inmueble/104990368/,"Fantàstic i lluminós pis cantonera de 127 m2 construïts i 3 habitacions amb vistes agradables i molt despejades a la plaça de Ferran Casablancas. Reformat integralment el 2020 amb acabats de luxe, se situa a la 3a planta d'un edifici clàssic al barri de La Bonanova, una de les millors zones residencials de Barcelona. El enorme saló-menjador amb cuina oberta i illa central és el lloc ideal per gaudir del confort en el dia a dia. La seva orientació est i els grans finestrals li aporten molta llum natural, amb l'avantatge de gaudir de vistes desp",Bcn Advisors,No indicat,,3,127
675.000€,695.000 €,3%,"Àtic a carrer de Girona, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/106212126/,"Magnífic àtic recentment renovat, ubicat en una finca règia catalogada de 1909. L'habitatge se situa en una cinquena planta real, en edifici cantoner, amb orientació sud, cosa que li proporciona abundant llum natural i vistes clares. El pis es distribueix en un saló-menjador connectat a una cuina de concepte obert amb gran illa, dos dormitoris dobles i un bany complet. L´habitatge compta amb 3 balcons parisencs. La cuina està completament equipada amb electrodomèstics d'alta gamma, com ara vinoteca i rentadora. El bany compta amb rajoles",Walter Haus Barcelona,No indicat,,2,83
1.380.000€,,0%,"Pis a carrer de Tòquio, Pedralbes, Barcelona",https://www.idealista.com/ca/inmueble/106264161/,"Exclusiu immoble de 190 m² construïts ubicat en un edifici del 1977 del barri de Pedralbes, destaca pel seu excel·lent estat de conservació. Situada a una primera planta exterior, l'habitatge compta amb 3 àmplies habitacions i 3 banys. L'habitació principal és en suite, amb un elegant walk-in closet, brindant un espai d'emmagatzematge i privadesa excepcionals. A més, disposa d'una agradable terrassa i dues places de garatge incloses al preu, la qual cosa la converteix en una opció molt atractiva. Entre els detalls més destacables, la propieta",Walter Haus Barcelona,Pàrking inclòs,,3,190
1.595.000€,,0%,"Dúplex a carrer d'Alfons XII, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/106344575/,"Exclusiu àtic dúplex en venda ubicat a Sant Gervasi-Galvany. Compte amb una superfície interior de 154 m² i 83 m² de terrasses distribuïdes en dues plantes, oferint amplis i lluminosos espais. El seu disseny modern i elegant ha estat acuradament rehabilitat amb acabats de gamma alta, brindant comoditat i luxe en cada detall. A la primera planta compta amb 100 m², on hi trobem la zona de nit, que inclou una suite principal amb vestidor i accés a terrassa de 15 m², dues habitacions dobles, una amb sortida a la mateixa terrassa i una altra amb a",Walter Haus Barcelona,No indicat,Luxe,3,195
4.950.000€,,0%,"Pis a avinguda Diagonal, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/106264510/,"Exclusiva propietat de luxe en venda completament moblada i equipada. Té 250 m² construïts i ofereix un disseny clàssic i elegant. Distribuïda en una planta baixa exterior, disposa de 4 àmplies habitacions, dues en suite, i 4 banys en total, brindant un espai còmode i funcional per a tota la família. L´orientació sud garanteix abundant llum natural durant tot el dia, creant una atmosfera càlida i acollidora. Construït el 1929, l'habitatge es troba en excel·lent estat de conservació. Cada detall en aquest habitatge ha estat pensat per proporci",Walter Haus Barcelona,No indicat,Luxe,4,250
1.240.000€,,0%,"Pis a carrer de Pau Claris, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/104272938/,"Pis cantoner al costat de Passeig de Gràcia Aquesta fabulosa propietat, situada a la cinquena planta real d'una finca règia de l'Eixample, té un potencial increïble per ser una finca esquinera. Amb molta llum natural i totes les estades exteriors, aquest pis disposa actualment de quatre habitacions dobles (una d'elles en suite), dos banys, zona de jocs/treballo, set balcons, un lavadore i una altra petita terrassa interior. També compta amb un traster privat i una altra sala comunitària situada en el terrat. Un gran actiu llest per a convertir",Engel & Völkers Barcelona,No indicat,,4,220
1.995.000€,,0%,"Xalet aparellat a carrer de Sant Gervasi de Cassoles, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/ca/inmueble/104767092/,"Us presentem aquesta preciosa casa d'estil contemporani amb cinc plantes més garatge. Data del 2008 i destaca per la seva lluminositat, amplitud, estil i senzillesa. Se situa al districte de Sant Gervasi-Bonanova, per la qual cosa està envoltada de comerços selectes, el mercat de Sant Gervasi, bons restaurants i els millors col·legis de la zona. A peu de carrer trobem un còmode garatge privat per a fins a tres vehicles on s'inclou una plataforma rotatòria i un enorme traster ideal com a emmagatzematge. A la primera planta disposem d´una maj",Lucas Fox,Pàrking inclòs,Luxe,5,485
1.690.000€,,0%,"Àtic a carrer dels Almogàvers, El Parc i la Llacuna del Poblenou, Barcelona",https://www.idealista.com/ca/inmueble/104224046/,"Àtic exclusiu de disseny amb terrassa panoràmica al cor de Barcelona. Àtic dúplex de 256 m2 construïts interiors i terrassa de 42 m2, rehabilitat integralment amb materials de primera qualitat. Es situa al costat del Parc del Nord, un punt estratègic entre l'Eixample i el Poblenou, també molt a prop del Parc de la Ciutadella i el Born, a 15-20 minuts caminant de la Plaça Catalunya i el Passeig de Gràcia, i a un passeig de la platja. Aquest àtic se situa a les plantes 6 i 7 de l'edifici, amb escales interiors que les comuniquen i també entrada",Bcn Advisors,Pàrking opc. 32.500 €,"Reformat, Luxe",4,277
995.000€,,0%,"Pis a carrer de Balmes, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/103362877/,"Propietat de 248 m2 segons cadastre, totalment reformada fa un any i mig. la zona de dia compta amb un ampli saló-menjador de 60 m2, amb llar de foc i il·luminat per dos grans finestrals amb accés a un balcó amb vistes al carrer. La cuina office compta amb dos accessos, un des del saló i un altre des del vestíbul. A més, disposa d´una zona de menjador. A la zona del vestíbul, trobaràs un pràctic traster i una cambra de bugaderia. Des del passadís, accedeixes a la zona de descans, amb una altra sala d´estar addicional. El pis disposa de 4 habit",Walter Haus Barcelona,Pàrking inclòs,,5,264
990.000€,,0%,"Pis a carrer de Muntaner, L'Antiga Esquerra de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/106117900/,"Preciós pis a estrenar, es troba en una finca règia cantonera en excel·lent estat, amb orientació sud que garanteix llum natural durant tot el dia. Amb una superfície construïda de 109 m², aquest habitatge a la quarta planta real ofereix un entorn espaiós i confortable, ideal per als que busquen una propietat elegant i moderna. Totalment reformada amb acabats d'alta qualitat, l'habitatge compta amb un ampli saló menjador amb accés a dos balcons, cosa que atorga lluminositat i amplitud a l'estada. La cuina semioberta està completament equipada",Walter Haus Barcelona,No indicat,,3,109
1.350.000€,,0%,"Pis a passeig de Gràcia, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/106227283/,"Espectacular propietat de luxe al Passeig de Gràcia, just davant de la icònica Casa Batlló. Situat en un edifici dissenyat pel prestigiós arquitecte Josep Puig i Cadafalch, aquest habitatge combina història i modernitat en els seus 119 m² construïts, oferint una experiència de vida exclusiva a una ubicació incomparable. L'interior de l'habitatge es distribueix en un ampli rebedor que dóna accés a una zona de dia elegant amb saló-menjador, connectada a una galeria d'època. La cuina semioberta, equipada amb electrodomèstics de gamma alta, afege",Walter Haus Barcelona,No indicat,,3,119
875.000€,,0%,"Pis a carrer de Balmes, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/104803094/,"PIS REFORMAT A ESTRENAR A BALMES En carrer Balmes, a escassos metres d'Avinguda Diagonal en una majestuosa finca règia construïda per l'arquitecte català Francesc Mitjans, trobem aquest exclusiu apartament d'alt standing de 138m2 amb materials i acabats de primera qualitat. La propietat, té un elegant rebedor que ens porta a una cuina equipada i distribuïda en dos espais, una sala d'estar i menjador lluminós orientat a pati de poma. Disposa de tres dormitoris; un en suite amb vestidor i dos individuals que comparteixen un bany.   Una oportun",aProperties Real Estate Barcelona,No indicat,,3,138
1.480.000€,,0%,"Àtic a Les Corts, Barcelona",https://www.idealista.com/ca/inmueble/106428958/,"Exclusiu àtic al barri de Les Corts amb 208 m² d'habitatge i una terrassa espectacular, parcialment coberta, de quatre ambients de la mateixa mida, a la qual s'accedeix directament des de l'interior. Aquest espaiós immoble ofereix cinc habitacions i quatre banys (dos en suite exteriors), proporcionant un entorn ideal per als que busquen amplitud i funcionalitat a casa seva. L'habitatge està completament reformat i equipat amb electrodomèstics d'alta gamma: nevera, forn, microones, rentavaixelles, rentadora, campana, vitroceràmica i graella. D",Walter Haus Barcelona,No indicat,,5,312
2.420.000€,,0%,"Casa o xalet independent a Sarrià, Barcelona",https://www.idealista.com/ca/inmueble/104681481/,"Espectacular casa totalment rehabilitada, ubicada als peus del parc natural de Collserola, a la part alta del barri de Sarrià. Es troba a prop del prestigiós col·legi internacional Benjamin Franklin i d'altres centres educatius privats, i a prop de la Ronda de Dalt, cosa que garanteix una perfecta connexió amb aquesta via d'entrada i sortida de la ciutat. La casa té 222 m2 construïts interiors i 166 m2 exteriors, repartits en 3 plantes amb elevador interior amb capacitat per a 4 persones. Disposa de materials i acabats de la màxima qualitat, a",Bcn Advisors,Pàrking inclòs,"Lluminós, Luxe, Vil·la",4,305
749.000€,,0%,"Pis a Les Tres Torres, Barcelona",https://www.idealista.com/ca/inmueble/105534264/,"Aquesta magnífica vivenda de 120 m² amb dues terrasses està ubicada davant dels encantadors jardins del Camp de Sarrià, en un edifici dels anys 70 que compta amb servei de consergeria i ascensor. Destaca pel seu disseny modern i funcional i gràcies a la seva orientació, rep llum natural durant tot el dia, creant un ambient assolellat i acollidor. L'àrea de dia és àmplia i està distribuïda en dos nivells, diferenciant així la zona de menjador i cuina, de la zona del saló i la seva encantadora terrassa que li aporta llum i vida. La cuina, que es",Bcn Advisors,No indicat,,2,118
1.270.000€,,0%,"Pis a avinguda Diagonal, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/105472252/,"Savills presenta aquest magnífic pis de 116 metres quadrats està situat al pròsper i ben ubicat barri de Sant Gervasi a Barcelona, conegut per la seva abundància de bells edificis, botigues exclusives i establiments d'alta cuina. Es troba al segon pis d'un edifici clàssic bellament restaurat amb un ampli ascensor i una entrada elegant. El pis és completament exterior i compta amb una distribució excel·lent, que crea diverses àrees separades. L'àrea diürna plena de llum solar és especialment encantadora i inclou una cuina equipada, àrea de menja",Savills Residencial,No indicat,,2,116
730.000€,,0%,"Pis a avinguda Diagonal, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/105495002/,"Savills presenta aquest magnífic pis de 82 metres quadrats està situat al pròsper i ben ubicat barri de Sant Gervasi a Barcelona, conegut per la seva abundància de bells edificis, botigues exclusives i establiments d'alta cuina. Es troba al segon pis d'un edifici clàssic bellament restaurat amb un ampli ascensor i una entrada elegant. El pis és completament exterior i compta amb una distribució excel·lent, que crea diverses àrees separades. L'àrea diürna plena de llum solar és especialment encantadora i inclou una cuina equipada, àrea de menjad",Savills Residencial,No indicat,,2,82
1.600.000€,1.700.000 €,6%,"Pis a carrer de Muntaner, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/105027185/,"Savills presenta aquesta espectacular propietat al cor de l'exclusiu barri de Sant Gervasi a Barcelona. El pis, dotat de 214 metres, posseeix uns sostres de 3 metres d'alçada; la qual cosa aporta sensació d'amplitud i lluminositat. Compta amb un total de tres habitacions de les quals, una és una àmplia suite amb tribuna, zona chill out, estudi-despatx; i gran vestidor. Contígua a la suite es troba el bany principal d'un gust exquisit amb banyera i dutxa moderna. D'altra banda, el pis disposa d'un gran saló amb accés a menjador i biblioteca gene",Savills Residencial,No indicat,Luxe,3,214
550.000€,,0%,"Pis a carrer de Pau Alsina, La Salut, Barcelona",https://www.idealista.com/ca/inmueble/104802810/,"Savills té el plaer de presentar-vos una propietat totalment reformada al barri de Gràcia Nova, a deu minuts de plaça Lesseps i del Parc Güell. Ubicada en un edifici de 1975 amb ascensor, aquesta propietat reformada el 2019 és un espai ideal per a aquells que vulguin viure a pocs passos del centre de Barcelona, amb totes les comoditats. És un pis molt intercomunicat entre si, amb un passadís que comunica tots els espais de l'immoble de manera còmoda i, alhora, deixant espai a la privacitat en cadascun d'ells. La propietat, ubicada en un segon p",Savills Residencial,No indicat,,2,82
650.000€,,0%,"Pis a carrer de Maria Auxiliadora, Les Tres Torres, Barcelona",https://www.idealista.com/ca/inmueble/105960553/,"Savills té el plaer de presentar-los aquest habitatge situat en una tranquil·la zona del prestigiós barri de Tres Torres es destaca per la seva impressionant terrassa d'uns 200m², un espai ideal per gaudir de moments inoblidables en companyia d'éssers estimats. Amb una orientació sud que garanteix una lluminositat excepcional, l'habitatge abasta 90m² construïts. i forma part d'una elegant finca dotada d'ascensor. La zona de dia es caracteritza per un saló menjador de doble alçada amb llum natural, que es troba separat per una porta corredera a",Savills Residencial,No indicat,,3,90
1.580.000€,,0%,"Pis a carrer de Fontanella, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/106160761/,"Savills presenta aquesta propietat totalment reformada, exterior, amb acabats de luxe i vistes panoràmiques, ubicada al de Barcelona, en una finca de 1991 totalment rehabilitada, davant de l'emblemàtica Plaça Urquinaona. A l'accedir a l'habitatge, ens trobem un pràctic quarto de bugaderia, un traster ideal per emmagatzematge i un lavabo de cortesia perfecte per a les visites. La zona de dia és el punt focal de la propietat: un ampli espai diàfan que combina un lluminós saló menjador gràcies als seus tres balcons a carrer, amb una moderna cuina",Savills Residencial,Pàrking inclòs,Luxe,3,174
695.000€,,0%,"Pis a ronda del General Mitre, Les Tres Torres, Barcelona",https://www.idealista.com/ca/inmueble/106219029/,"Savills té el plaer de presentar-vos aquest pis de tres habitacions i dos banys, en un ambient serè i tranquil en estar orientat cap a l'interior de l'illa. El lluminós saló-menjador disposa d'un gran finestral i accés a un bany complet. Ofereix una àmplia cuina amb àrea d'office i safareig, ideal per realitzar les tasques diàries amb facilitat. La zona de nit es compon de tres habitacions: una principal, una mitjana i una individual amb llitera. També compta amb un altre bany complet per a més comoditat. El pis està dotat de terres de parqu",Savills Residencial,No indicat,,3,96
1.430.000€,,0%,"Pis a carrer de Muntaner, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/106192024/,"Esta propiedad ha sido meticulosamente reformada con acabados y materiales de refinada calidad, a fin de ofrecer un ambiente de lujo y confort en cada detalle. Al entrar, un elegante vestíbulo nos guía hacia dos habitaciones dobles exteriores, ambas con acceso a un pequeño balcón. Una de estas es en suite, mientras que la segunda cuenta con un baño completo situado en el pasillo, junto a una habitación individual. La cuarta habitación, ubicada cerca del salón comedor, ofrece privacidad y comodidad, ya que dispone de su propio baño completo con",Max Ricart,No indicat,,4,180
1.425.000€,1.500.000 €,5%,"Pis a carrer de Roger de Llúria, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/105088801/,"Descobreix aquest exclusiu pis de luxe en el prestigiós Eixample Dret de Barcelona. Situat en una finca amb elements originals modernistes, aquest immoble combina l'encant històric amb una reforma completa que ofereix acabats de luxe i totes les comoditats modernes. Aquest generós pis compta amb tres habitacions, proporcionant privacitat i comoditat en cada racó. La propietat ha estat totalment reformada amb materials de la més alta qualitat, garantint un nivell de confort i sofisticació que satisfà les expectatives més exigents. La cuina enc",Barcelona & Costa Brava Sotheby’s Int. Realty,No indicat,,3,170
